gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,Churn
0,0,1,1,1,2,1,1,2,2,1,0,0,1,0,0,96.99424002107004,6592.114568977851,5,1
0,0,0,1,1,0,1,0,0,2,2,2,2,0,1,0,98.1,396.3,0,1
0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,90.38391494203819,241.58892066102217,0,1
1,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,89.5,2196.15,2,1
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,19.75,309.35,1,0
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,24.1,259.8,0,1
0,0,0,0,1,0,0,0,2,0,0,2,0,1,1,1,58.6,2224.5,3,0
0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,77.305378507502,869.6818607725717,0,1
1,0,0,0,1,2,0,2,2,2,2,0,0,1,0,0,68.8,4111.35,5,0
1,0,0,1,1,2,1,0,1,0,2,2,2,0,0,1,103.09249370859291,5070.77564232001,4,1
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,80.24484928963308,80.24484928963308,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30.26459044363663,30.26459044363663,0,1
0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,2,84.2832705165671,1095.8533137543086,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,1,19.3,19.3,0,0
0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,80.73616401788723,580.4562841205644,0,1
1,0,0,0,0,1,0,2,2,2,2,2,2,2,1,0,65.6,4566.5,5,0
1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,2,76.3947366997446,1472.7142595256528,1,1
1,1,1,0,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1463.5,1,1
1,1,1,0,1,0,1,0,0,0,0,0,2,0,0,2,78.55,1422.65,1,1
1,0,0,1,1,0,2,1,1,1,1,1,1,2,0,0,19.35,212.3,0,0
0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,1,85.08197754185328,747.3687232203476,0,1
0,0,1,0,0,1,0,2,2,2,0,0,2,1,0,2,50.05,2911.5,4,0
0,0,1,0,1,2,1,0,2,2,1,2,1,0,1,2,110.42850639878964,4534.76168239989,3,1
1,0,0,1,1,0,0,0,2,0,2,0,0,0,1,0,55.3,1284.2,1,0
1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,95.7,4816.7,4,1
1,0,0,1,1,2,2,1,1,1,1,1,1,2,0,3,24.35,1654.6,5,0
1,0,1,0,1,0,2,1,1,1,1,1,1,2,1,1,20.4,1414.45,5,0
0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,2,77.82269429254801,1859.0082605585837,1,1
0,0,1,0,1,2,1,1,1,1,1,0,0,2,0,0,93.84914103938249,6580.652057259452,5,1
0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,2,85.08650073472106,85.08650073472106,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.05,358.5,1,0
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,82.19289868703315,753.7240324166401,0,1
0,0,1,0,1,2,1,1,0,2,1,2,2,1,1,1,107.94045028603254,7151.245555750519,5,1
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,23.4,1429.65,5,0
0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,81.15,952.3,1,1
1,1,0,0,1,1,1,0,0,1,0,2,2,0,1,2,95.12833084799762,1200.6328680616764,0,1
0,1,0,0,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,1,1
0,0,0,1,1,2,1,0,2,0,0,2,0,0,0,2,93.9769077590544,365.2520992946314,0,1
0,1,1,0,1,0,2,1,1,1,1,1,1,2,1,0,20.05,1263.05,5,0
0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,91.04677733586676,2356.316059202961,2,1
1,0,0,0,1,0,1,0,1,2,1,0,2,0,0,1,95.02609519488684,179.19069779337795,0,1
1,1,0,0,1,2,1,0,0,0,0,0,2,0,1,1,84.76093556306851,740.2739967430142,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,70.4,70.4,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,2,1,3,20.2,684.4,2,0
1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,69.15,69.15,0,1
0,0,0,0,1,2,1,1,2,1,0,2,2,0,1,1,112.88144847089902,4690.802579127093,3,1
1,0,0,0,1,0,2,1,1,1,1,1,1,2,1,0,20.05,614.45,2,0
0,0,0,0,1,2,0,2,0,2,2,2,2,1,1,1,89.65,3348.1,2,0
1,1,0,0,1,2,2,1,1,1,1,1,1,2,0,1,25.1,1672.15,5,0
1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,79.14802964480761,79.14802964480761,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.3,70.3,0,1
1,0,1,0,1,2,1,0,2,2,0,2,2,0,1,2,105.55,6281.45,5,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,71.41515398303667,71.41515398303667,0,1
1,0,0,0,1,2,1,2,2,2,2,2,2,1,1,0,116.3,8309.55,5,0
0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,2,64.75,2345.2,3,1
1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,49.5,312.7,0,0
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,80.37067047331612,581.5469268220203,0,1
1,0,1,0,1,2,1,0,2,0,0,0,2,1,1,1,90.35,4614.55,4,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,20.85,450.65,1,0
0,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,20.25,865.0,3,0
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,19.35,1153.25,4,0
1,0,1,1,1,0,0,2,2,0,0,2,0,0,1,2,65.45,937.6,1,1
0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,2,99.67723352829768,1874.0287956284158,1,1
0,0,0,0,1,2,2,1,1,1,1,1,1,0,1,3,25.75,25.75,0,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,20.1,296.15,1,0
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,3,74.25,74.25,0,1
0,0,0,1,1,2,0,0,2,0,0,2,2,1,1,3,77.55,3471.1,3,0
0,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,97.66149341893141,2117.2554150694646,1,1
1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,79.91151990717765,79.91151990717765,0,1
0,0,0,0,1,1,1,0,1,0,0,2,0,0,1,0,90.11842022959877,2280.5277405044058,1,1
0,0,1,0,1,0,0,0,2,0,2,2,2,0,1,2,73.05,1959.5,2,0
0,0,0,1,1,2,1,0,2,0,2,2,2,1,1,0,106.6,7244.7,5,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,73.08735355590056,352.2929851041831,0,1
1,0,1,1,1,0,0,2,0,2,0,2,2,1,1,1,73.05,4688.65,5,0
0,1,0,0,1,2,1,0,0,2,2,2,2,0,1,2,104.95,5222.35,4,0
0,0,1,0,1,2,0,0,2,0,0,2,1,0,0,1,98.1640642658102,5149.563330118124,4,1
0,0,0,0,1,0,1,1,0,0,1,2,2,0,1,0,98.15146958582554,1120.825244930971,0,1
0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,3,79.1,1783.75,1,0
1,0,1,0,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1304.8,5,0
0,0,1,1,1,2,0,2,2,2,2,2,0,2,0,0,79.7,5743.3,5,0
0,0,0,1,1,0,2,1,1,1,1,1,1,1,0,3,19.95,936.7,3,0
0,0,1,0,1,2,1,0,2,0,0,0,0,0,1,0,81.55,5029.05,5,0
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,19.5,1147.85,4,0
1,0,0,0,1,0,1,0,2,0,1,2,2,0,0,2,101.4487427503307,4404.074365476669,3,1
0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,0,19.5,805.2,3,0
1,0,1,0,0,1,0,2,0,2,2,0,0,2,0,1,40.4,1842.7,3,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,1,20.05,337.9,1,0
0,0,1,1,0,0,0,1,2,1,0,2,2,0,1,0,63.16089458235068,1500.7879834044531,1,1
1,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,25.75,755.6,2,0
0,0,0,0,1,2,1,1,1,2,0,1,1,0,1,2,106.32704326919074,3587.4066235388404,2,1
0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,0,0
1,0,0,0,1,0,1,0,0,2,0,2,2,0,0,1,95.76625859822556,1778.2655598315168,1,1
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,19.7,1301.1,5,0
1,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,84.45,1059.55,0,1
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,19.45,1336.35,5,0
1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,54.7,169.45,0,1
1,0,0,1,1,0,1,0,2,0,0,2,2,0,1,2,95.9,2448.75,2,1
1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,91.86275914144396,1449.1353295734232,1,1
0,0,1,0,1,2,1,2,2,2,2,0,2,2,0,1,106.65,5174.35,4,0
0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,2,85.50802763604754,85.50802763604754,0,1
1,0,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,0,1
0,0,0,0,1,2,0,2,2,2,0,0,0,0,1,0,65.5,573.15,0,0
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,78.78318352489468,333.0088768545473,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,42.28386485605235,879.7649842122424,1,1
0,0,1,0,1,2,1,1,1,1,1,0,0,2,0,0,93.81225492810351,6581.81396976474,5,1
0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,452.2,1,0
0,0,1,0,1,2,1,0,2,2,2,2,2,1,1,0,108.5,8003.8,5,0
0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,99.5,3762.0,3,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,70.15,70.15,0,1
1,0,0,0,1,2,0,2,2,2,2,0,2,2,0,0,80.6,5708.2,5,0
0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,1,25.05,1873.7,5,0
1,0,0,0,1,0,1,0,0,2,0,2,2,0,0,1,94.81025629225897,497.12467198925015,0,1
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,74.2034993706468,152.9857215786774,0,1
0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,2,34.25,163.55,0,0
1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,2,34.3,1004.75,2,0
0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,25.45,1534.05,4,0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,44.3,134.5,0,1
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,0,1
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,75.37936124832193,306.7316788233038,0,1
1,0,0,0,1,0,1,0,0,2,0,2,2,0,0,2,95.42945244601701,574.1859446734169,0,1
1,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,100.41892606398012,100.41892606398012,0,1
0,0,0,0,1,2,1,0,0,0,0,2,0,1,0,2,84.05,2781.85,2,1
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,47.73258346290078,441.12606032195083,0,1
0,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,2,0
0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,24.7,571.75,1,0
1,0,0,1,1,2,1,0,0,0,2,2,2,2,0,3,100.55,3895.35,3,0
0,0,1,0,1,2,0,2,0,2,2,2,2,2,1,0,84.9,6065.3,5,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,70.42417673509071,70.42417673509071,0,1
0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,1,85.22513356947042,2749.7132596896195,2,1
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,25.05,125.5,0,0
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,26.0,1796.55,5,0
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.45,255.35,0,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,75.55786325890911,240.59665534476233,0,1
0,1,0,0,1,2,1,2,1,0,0,2,2,0,0,0,106.44126631532201,4058.6118531392317,3,1
1,0,1,1,1,2,1,2,2,2,2,0,0,2,0,1,94.55,6078.75,5,0
1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,80.28715728004471,80.28715728004471,0,1
0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,92.48423328119894,1167.7875785522472,0,1
0,1,0,0,1,0,1,0,0,1,0,1,2,0,1,1,93.82491584988503,743.1860690141392,0,1
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,20.0,817.95,3,0
0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,90.14268314146,1204.1766839782213,1,1
0,0,0,0,1,2,1,0,2,2,0,2,2,1,1,0,104.8,3886.45,2,0
0,0,1,1,1,0,0,2,2,2,0,0,2,2,0,1,68.75,4888.2,5,0
0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,1,66.5,2762.75,3,0
0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,2,80.40768048901793,154.94097285094682,0,1
0,0,0,0,0,1,0,2,0,0,2,2,2,1,1,0,54.55,2236.2,3,0
0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,74.99020513255991,74.99020513255991,0,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,25.35,566.1,1,0
0,0,1,1,1,2,0,2,2,2,2,2,2,2,0,1,90.3,5194.05,4,0
1,1,1,0,1,0,1,0,0,0,0,0,2,0,1,1,80.3,2483.05,2,1
1,0,1,1,1,2,0,2,2,2,2,2,2,2,1,1,89.4,5597.65,5,0
1,0,0,0,1,2,0,2,2,2,2,0,0,0,0,2,69.95,2657.55,3,0
0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,85.2,1553.9,1,1
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,25.2,1798.9,5,0
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,18.9,18.9,0,0
1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,84.87558609629093,3064.424952945068,2,1
0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,49.65,267.35,0,1
0,0,1,1,0,1,0,2,2,2,2,0,0,2,0,0,46.25,3121.4,5,0
0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,2,95.85255063585447,175.26341228731454,0,1
1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,69.98235058435078,69.98235058435078,0,1
1,0,0,1,1,2,2,1,1,1,1,1,1,2,1,3,24.8,1424.2,4,0
1,0,0,0,1,0,0,2,0,2,0,2,2,2,1,0,74.35,4317.35,4,0
1,0,1,1,1,2,0,2,0,0,0,0,0,0,1,0,54.45,1588.7,2,0
1,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,88.2,1775.8,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.611236544354924,80.69768029723612,0,1
0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,3,79.65,604.7,0,1
1,0,0,0,1,2,1,0,2,0,2,2,2,1,1,1,105.0810372364461,6898.441617373403,5,1
1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,19.9,942.95,3,0
1,0,1,1,1,2,0,2,2,0,0,0,2,2,1,3,69.55,4459.15,5,0
1,0,0,0,1,2,1,0,2,0,0,0,2,1,0,1,90.45,5825.5,5,0
0,0,1,1,1,2,1,2,2,0,0,2,0,2,1,2,95.1,6843.15,5,0
1,0,1,1,1,2,1,0,2,2,0,2,2,1,1,1,104.45,7459.0,5,0
0,0,0,0,1,2,1,0,1,0,0,0,2,0,1,0,91.28329077936964,6127.082064375579,5,1
0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,2,87.62972374263946,1131.1179834154855,1,1
1,0,1,0,1,0,0,2,2,2,0,2,0,1,0,1,66.4,3958.2,4,0
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,20.0,1374.2,5,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,34.61924611731659,289.2964853839228,0,1
0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,2,83.88937986448275,677.2258746991256,0,1
0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,2,83.6176693253662,524.3666941008414,0,1
1,0,1,0,1,2,0,2,0,0,2,2,2,1,0,1,80.45,3375.9,3,0
0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,53.51224677446673,53.51224677446673,0,1
0,0,0,0,1,0,0,2,2,2,2,2,0,2,1,1,74.3,4166.35,4,0
1,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,78.95,2034.25,2,0
1,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,98.09805203796033,712.8502994202005,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,18.8,279.2,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,48.15325980635768,415.73736207984734,0,1
1,0,1,1,1,0,0,2,0,2,2,0,2,2,1,1,70.85,4973.4,5,0
1,1,0,0,1,2,1,0,2,0,0,0,0,0,1,2,81.45,2122.05,2,1
0,0,0,0,1,0,1,0,1,0,0,2,2,0,0,2,95.19292610335715,168.20145129615676,0,1
0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,84.29905250689825,264.48273348499964,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.23173876170239,69.23173876170239,0,1
0,0,1,0,1,2,1,2,0,2,0,2,2,2,1,1,105.0,7589.8,5,0
1,0,0,0,1,2,0,2,2,2,0,0,2,1,0,1,76.75,5233.25,5,0
0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,1,19.99418899685204,19.99418899685204,0,1
0,0,1,0,1,2,0,2,2,2,2,0,2,2,1,3,81.3,5129.3,5,0
1,1,1,0,1,2,1,2,2,0,0,0,0,0,0,0,83.85,5588.8,5,0
1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,20.15,536.35,2,0
0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,1,20.03700175961442,20.03700175961442,0,1
1,0,1,1,1,0,1,0,2,2,0,2,2,1,1,1,97.55,5598.0,4,0
0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,19.55,389.25,1,0
0,0,0,0,0,1,0,2,0,2,2,0,0,2,0,3,38.9,2719.2,5,0
0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,50.3,913.3,1,0
1,0,1,0,1,2,0,2,2,2,2,0,2,2,0,1,80.4,5727.15,5,0
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95,2,0
0,0,0,0,1,2,1,0,1,2,0,2,2,0,1,0,107.39913955409664,5121.259559042542,3,1
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,19.9,505.45,2,0
1,0,1,0,0,1,0,0,2,2,2,0,2,1,1,0,51.05,3635.15,5,0
1,0,1,1,1,2,2,1,1,1,1,1,1,1,0,2,24.9,1174.8,3,0
0,1,1,0,1,2,0,2,2,2,0,2,2,2,1,1,84.1,6129.65,5,0
0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,79.72030752554848,152.16068601853124,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,45.44878868655422,45.44878868655422,0,1
0,0,0,0,1,2,1,0,0,1,0,2,0,0,1,1,92.6938508050148,193.69241791464393,0,1
0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,81.79665857799539,81.79665857799539,0,1
0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,2,30.5,167.2,0,0
1,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,83.41310764053199,4064.643441830994,3,1
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,20.4,1090.6,4,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,19.75,989.05,4,0
0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,106.35,6751.35,5,0
0,0,1,0,1,2,1,0,2,2,0,2,2,0,1,1,104.6458423006151,5279.576007294317,4,1
0,0,0,0,1,1,1,1,0,0,0,2,2,0,1,2,101.66632046375814,2101.7718317199688,1,1
1,0,0,0,1,0,1,0,0,0,0,2,1,0,1,2,90.21906899299948,2182.1281546365103,2,1
0,0,1,1,1,2,1,0,2,2,2,2,2,2,1,1,110.8,7245.9,5,0
0,1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,1
0,0,1,1,1,0,1,0,0,0,0,2,2,0,1,2,90.8,2361.8,2,1
0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,1,99.90393259681461,825.1293865726972,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,49.43203431534264,194.3029467874798,0,1
1,0,1,1,1,2,1,2,0,0,0,2,2,1,0,2,97.1,4016.75,3,0
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,20.45,242.4,0,0
1,0,0,1,1,0,2,1,1,1,1,1,1,1,0,1,20.55,1013.05,3,0
